Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.35981,-0.07278,2.536347,1.378155,-0.33832,0.462388,0.239599,0.098698,0.363787,0.090794,-0.5516,-0.6178,-0.99139,-0.31117,1.468177,-0.4704,0.207971,0.025791,0.403993,0.251412,-0.01831,0.277838,-0.11047,0.066928,0.128539,-0.18911,0.133558,-0.02105,149.62,0
0,1.191857,0.266151,0.16648,0.448154,0.060018,-0.08236,-0.0788,0.085102,-0.25543,-0.16697,1.612727,1.065235,0.489095,-0.14377,0.635558,0.463917,-0.1148,-0.18336,-0.14578,-0.06908,-0.22578,-0.63867,0.101288,-0.33985,0.16717,0.125895,-0.00898,0.014724,2.69,0
1,-1.35835,-1.34016,1.773209,0.37978,-0.5032,1.800499,0.791461,0.247676,-1.51465,0.207643,0.624501,0.066084,0.717293,-0.16595,2.345865,-2.89008,1.109969,-0.12136,-2.26186,0.52498,0.247998,0.771679,0.909412,-0.68928,-0.32764,-0.1391,-0.05535,-0.05975,378.66,0
1,-0.96627,-0.18523,1.792993,-0.86329,-0.01031,1.247203,0.237609,0.377436,-1.38702,-0.05495,-0.22649,0.178228,0.507757,-0.28792,-0.63142,-1.05965,-0.68409,1.965775,-1.23262,-0.20804,-0.1083,0.005274,-0.19032,-1.17558,0.647376,-0.22193,0.062723,0.061458,123.5,0
2,-1.15823,0.877737,1.548718,0.403034,-0.40719,0.095921,0.592941,-0.27053,0.817739,0.753074,-0.82284,0.538196,1.345852,-1.11967,0.175121,-0.45145,-0.23703,-0.03819,0.803487,0.408542,-0.00943,0.798278,-0.13746,0.141267,-0.20601,0.502292,0.219422,0.215153,69.99,0
2,-0.42597,0.960523,1.141109,-0.16825,0.420987,-0.02973,0.476201,0.260314,-0.56867,-0.37141,1.341262,0.359894,-0.35809,-0.13713,0.517617,0.401726,-0.05813,0.068653,-0.03319,0.084968,-0.20825,-0.55982,-0.0264,-0.37143,-0.23279,0.105915,0.253844,0.08108,3.67,0
4,1.229658,0.141004,0.045371,1.202613,0.191881,0.272708,-0.00516,0.081213,0.46496,-0.09925,-1.41691,-0.15383,-0.75106,0.167372,0.050144,-0.44359,0.002821,-0.61199,-0.04558,-0.21963,-0.16772,-0.27071,-0.1541,-0.78006,0.750137,-0.25724,0.034507,0.005168,4.99,0
7,-0.64427,1.417964,1.07438,-0.4922,0.948934,0.428118,1.120631,-3.80786,0.615375,1.249376,-0.61947,0.291474,1.757964,-1.32387,0.686133,-0.07613,-1.22213,-0.35822,0.324505,-0.15674,1.943465,-1.01545,0.057504,-0.64971,-0.41527,-0.05163,-1.20692,-1.08534,40.8,0
7,-0.89429,0.286157,-0.11319,-0.27153,2.669599,3.721818,0.370145,0.851084,-0.39205,-0.41043,-0.70512,-0.11045,-0.28625,0.074355,-0.32878,-0.21008,-0.49977,0.118765,0.570328,0.052736,-0.07343,-0.26809,-0.20423,1.011592,0.373205,-0.38416,0.011747,0.142404,93.2,0
9,-0.33826,1.119593,1.044367,-0.22219,0.499361,-0.24676,0.651583,0.069539,-0.73673,-0.36685,1.017614,0.83639,1.006844,-0.44352,0.150219,0.739453,-0.54098,0.476677,0.451773,0.203711,-0.24691,-0.63375,-0.12079,-0.38505,-0.06973,0.094199,0.246219,0.083076,3.68,0
10,1.449044,-1.17634,0.91386,-1.37567,-1.97138,-0.62915,-1.42324,0.048456,-1.72041,1.626659,1.199644,-0.67144,-0.51395,-0.09505,0.23093,0.031967,0.253415,0.854344,-0.22137,-0.38723,-0.0093,0.313894,0.02774,0.500512,0.251367,-0.12948,0.04285,0.016253,7.8,0
10,0.384978,0.616109,-0.8743,-0.09402,2.924584,3.317027,0.470455,0.538247,-0.55889,0.309755,-0.25912,-0.32614,-0.09005,0.362832,0.928904,-0.12949,-0.80998,0.359985,0.707664,0.125992,0.049924,0.238422,0.00913,0.99671,-0.76731,-0.49221,0.042472,-0.05434,9.99,0
10,1.249999,-1.22164,0.38393,-1.2349,-1.48542,-0.75323,-0.6894,-0.22749,-2.09401,1.323729,0.227666,-0.24268,1.205417,-0.31763,0.725675,-0.81561,0.873936,-0.84779,-0.68319,-0.10276,-0.23181,-0.48329,0.084668,0.392831,0.161135,-0.35499,0.026416,0.042422,121.5,0
11,1.069374,0.287722,0.828613,2.71252,-0.1784,0.337544,-0.09672,0.115982,-0.22108,0.46023,-0.77366,0.323387,-0.01108,-0.17849,-0.65556,-0.19993,0.124005,-0.9805,-0.98292,-0.1532,-0.03688,0.074412,-0.07141,0.104744,0.548265,0.104094,0.021491,0.021293,27.5,0
12,-2.79185,-0.32777,1.64175,1.767473,-0.13659,0.807596,-0.42291,-1.90711,0.755713,1.151087,0.844555,0.792944,0.370448,-0.73498,0.406796,-0.30306,-0.15587,0.778265,2.221868,-1.58212,1.151663,0.222182,1.020586,0.028317,-0.23275,-0.23556,-0.16478,-0.03015,58.8,0
